Data,Localizacao,Suspeitos,Confirmados,Internados,Intensivos,Recuperados,Mortes,AS
31-01-2020,Portugal,1,0,0,0,0,0,0
01-02-2020,Portugal,2,0,0,0,0,0,0
04-02-2020,Portugal,3,0,0,0,0,0,0
05-02-2020,Portugal,4,0,0,0,0,0,0
10-02-2020,Portugal,6,0,0,0,0,0,0
14-02-2020,Portugal,7,0,0,0,0,0,0
16-02-2020,Portugal,9,0,0,0,0,0,0
17-02-2020,Portugal,11,0,0,0,0,0,0
18-02-2020,Portugal,12,0,0,0,0,0,0
20-02-2020,Portugal,12,0,0,0,0,0,0
21-02-2020,Portugal,12,0,0,0,0,0,0
22-02-2020,Portugal,12,0,0,0,0,0,0
23-02-2020,Portugal,13,0,0,0,0,0,0
24-02-2020,Portugal,16,0,0,0,0,0,0
25-02-2020,Portugal,19,0,0,0,0,0,0
26-02-2020,Portugal,25,0,0,0,0,0,0
27-02-2020,Portugal,51,0,0,0,0,0,0
28-02-2020,Portugal,59,0,0,0,0,0,0
29-02-2020,Portugal,70,0,0,0,0,0,0
01-03-2020,Portugal,85,0,0,0,0,0,0
02-03-2020,Portugal,85,2,2,0,0,0,0
03-03-2020,Portugal,101,4,4,0,0,0,0
04-03-2020,Portugal,117,6,6,0,0,0,81
05-03-2020,Portugal,147,9,9,0,0,0,213
06-03-2020,Portugal,181,13,13,0,0,0,354
07-03-2020,Portugal,224,21,21,0,0,0,412
08-03-2020,Portugal,281,30,30,0,0,0,447
09-03-2020,Portugal,339,39,38,0,0,0,496
10-03-2020,Portugal,375,41,40,0,0,0,667
11-03-2020,Portugal,471,59,57,0,0,0,3066
12-03-2020,Portugal,637,78,69,0,0,0,4923
13-03-2020,Portugal,1308,112,107,0,1,0,5674
14-03-2020,Portugal,1704,169,114,10,2,0,5011
15-03-2020,Portugal,2271,245,139,9,2,0,4592
16-03-2020,Portugal,2908,331,139,18,3,1,4592
17-03-2020,Portugal,4030,448,206,17,3,1,6852
18-03-2020,Portugal,5067,642,89,20,3,2,6656
19-03-2020,Portugal,6061,785,89,20,3,3,8091
20-03-2020,Portugal,7732,1020,126,26,5,6,9008
21-03-2020,Portugal,9854,1280,156,35,5,12,13155
22-03-2020,Portugal,11779,1600,169,41,5,14,12562
23-03-2020,Portugal,13674,2060,201,47,14,23,11842
24-03-2020,Portugal,15474,2362,203,48,22,29,11842
25-03-2020,Portugal,21155,2995,276,61,22,43,13624
26-03-2020,Portugal,22257,3544,191,61,43,60,14994
27-03-2020,Portugal,25431,4268,354,71,43,76,19816
28-03-2020,Portugal,32754,5170,418,89,43,100,19927
29-03-2020,Portugal,38042,5962,486,138,43,119,17785
30-03-2020,Portugal,44206,6408,571,164,43,140,11482
31-03-2020,Portugal,52086,7443,627,188,43,160,19260
01-04-2020,Portugal,59457,8251,726,230,43,187,20275
02-04-2020,Portugal,66895,9034,1042,240,68,209,21798
03-04-2020,Portugal,74377,9886,1058,245,68,246,22350
04-04-2020,Portugal,81087,10524,1075,251,75,266,22858
05-04-2020,Portugal,86370,11278,1084,267,75,295,23209
06-04-2020,Portugal,91794,11730,1099,270,140,311,23470
07-04-2020,Portugal,99730,12442,1180,271,184,345,25070
08-04-2020,Portugal,104886,13141,1211,245,196,380,24481
09-04-2020,Portugal,115158,13956,1173,241,205,408,24708
10-04-2020,Portugal,123564,15472,1179,226,233,435,25914
11-04-2020,Portugal,130300,15987,1175,233,266,470,25432
12-04-2020,Portugal,136243,16585,1177,228,277,504,25041
13-04-2020,Portugal,139184,16934,1187,188,277,535,26989
14-04-2020,Portugal,142514,17448,1227,218,347,567,23265
15-04-2020,Portugal,150804,18091,1200,208,383,599,26144
16-04-2020,Portugal,154727,18841,1302,229,493,629,26065
17-04-2020,Portugal,158940,19022,1284,222,519,657,25456
18-04-2020,Portugal,162711,19685,1253,228,610,687,25456
19-04-2020,Portugal,187604,20206,1243,224,610,714,27947
20-04-2020,Portugal,198353,20863,1208,215,610,735,30805
21-04-2020,Portugal,202769,21379,1172,213,917,762,30646
22-04-2020,Portugal,210302,21982,1146,207,1143,785,30646
23-04-2020,Portugal,219848,22353,1095,204,1201,820,30342
24-04-2020,Portugal,227393,22797,1068,188,1228,854,29621
25-04-2020,Portugal,231737,23392,1040,186,1277,880,29932
26-04-2020,Portugal,236410,23864,1005,182,1329,903,30453
27-04-2020,Portugal,237571,24027,995,176,1357,928,30703
28-04-2020,Portugal,239065,24322,936,172,1389,948,29559
29-04-2020,Portugal,243655,24505,980,169,1470,973,29568
30-04-2020,Portugal,247696,25056,968,172,1519,989,29467
01-05-2020,Portugal,247696,25056,892,154,1647,1007,29756
02-05-2020,Portugal,252728,25190,855,150,1671,1023,27985
03-05-2020,Portugal,252889,25282,856,144,1689,1043,25324
04-05-2020,Portugal,254510,25524,813,143,1712,1063,25081
05-05-2020,Portugal,258488,25702,818,134,1743,1074,25066
06-05-2020,Portugal,262041,26182,838,136,2076,1089,24579
